Correction,GroundTruth,ORC
of,of,of
reportlng,reporting,reportlng
for,for,for
certaln,certain,certaln
chemicals,chemicals,chemlcals
but,but,but
objected,objected,objected
to,to,to
epas,epas,epas
proposal,proposal,proposal
to,to,to
extend,extend,extend
most,most,most
reportlng,reporting,reportlng
from,from,from
years,years,years
to,to,to
years,years,years
cma,cma,cma
also,also,also
took,took,took
exceptlons,exceptions,exceptlons
m,to,m
epas,epas,epas
proposal,proposal,proposal
to,to,to
other,other,other
offices,offices,offlces
hlthln,within,hlthln
epa,epa,epa
for,for,for
studles,studies,studles
already,already,already
submltted,submitted,submltted
to,to,to
other,other,other
federal,federal,federal
agencles,agencies,agencles
the,we,he
urged,urged,urged
epa,epa,epa
to,to,to
begln,begin,begln
unplementlng,implementing,unplementlng
the,the,the
interagency,interagency,nteragency
coordlnatlon,coordination,coordlnatlon
provlslons,provisions,provlslons
of,of,of
sectlon,section,sectlon
of,of,of
tsca,tsca,tsca
to,to,to
relleve,relieve,relleve
companles,companies,companles
of,of,of
the,the,the
burden,burden,burden
of,of,of
dupllcatlve,duplicative,dupllcatlve
submlsslons,submissions,submlsslons
procedural,procedural,procedural
rules,rules,rules
for,for,for
negotlated,negotiated,negotlated
testlng,testing,testlng
in,in,in
august,august,august
cma,cma,cma
and,and,and
the,the,the
natural,natural,natural
resources,resources,resources
defense,defense,defense
councll,council,councll
sum,nrdc,mum
jolntly,jointly,jolntly
submltted,submitted,submltted
to,to,to
epa,epa,epa
for,for,for
offlclal,official,offlclal
approval,approval,approval
a,a,a
draft,draft,draft
procedural,procedural,procedural
rule,rule,rule
to,to,to
allow,allow,allow
epa,epa,epa
and,and,and
manufacturers,manufacturers,manufacturers
to,to,to
negotlate,negotiate,negotlate
toxicity,toxicity,toxlclty
testlng,testing,testlng
requirements,requirements,requlrements
the,the,the
draft,draft,draft
was,was,was
the,the,the
product,product,product
of,of,of
several,several,several
meetlngs,meetings,meetlngs
involving,involving,nvolvng
cma,cma,cm
may,nrdc,mum
and,and,and
epa,epa,epa
staff,staff,staff
senior,senior,senlor
epa,epa,epa
officers,officials,offlclals
are,are,are
now,now,now
reviewing,reviewing,revlewlng
a,a,a
flnal,final,flnal
verslon,version,verslon
that,that,that
copies,copies,copies
the,the,the
draft,draft,draft
almost,almost,almost
exactly,exactly,exactly
hill,will,hill
raiestabllsh,reestablish,raiestabllsh
negotlatlons,negotiations,negotlatlons
as,as,as
a,a,a
legltlmate,legitimate,legltlmate
procedure,procedure,procedure
for,for,for
decldlng,deciding,decldlng
what,what,what
page,page,page
 , , 
cma,cma,cma
testlng,testing,testlng
needs,needs,needs
to,to,to
be,be,be
done,done,done
threat,direct,threat
dlscusslon,discussion,dlscusslon
with,with,hlth
a,a,a
natlonal,national,natlonal
environmental,environmental,envlronmental
organizations,organization,organlzatlon
biotechnology,biotechnology,blotechnology
developments,developments,developments
cma,cma,cma
staff,staff,staff
counsel,counsel,counsel
as,as,as
well,well,well
as,as,as
several,several,several
dlalogue,dialogue,dlalogue
on,on,on
the,the,the
regulatlon,regulation,regulatlon
of,of,of
technology,biotechnology,blotechnology
the,the,the
initial,initial,initial
meetlng,meeting,meetlng
at,at,at
keystone,keystone,keystone
occurred,occurred,occurred
n,in,n
october,october,october
others,others,others
are,are,are
planned,planned,planned
for,for,for
winter,winter,wlnter
spring,spring,spring
and,and,and
summer,summer,summer
of,of,of
in,in,in
the,the,the
meantlme,meantime,meantlme
on,on,on
november,november,november
the,the,the
offlce,office,offlce
of,of,of
science,science,sclence
and,and,and
technology,technology,technology
pollcy,policy,pollcy
announced,announced,announced
the,the,the
creatlon,creation,creatlon
of,of,of
a,a,a
biotechnology,biotechnology,blotechnology
science,science,sclence
coordlnatlng,coordinating,coordlnatlng
commlttee,committee,commlttee
hlthln,within,hlthln
ostp,ostp,osrp
to,to,to
coordlnate,coordinate,coordlnate
among,among,among
federal,federal,federal
agencles,agencies,agencles
and,and,and
promote,promote,promote
conslstent,consistent,conslstent
pollcles,policies,pollcles
more,more,more
recently,recently,recently
senators,senators,senators
durenburger,durenburger,durenburger
harm,rmn,ham
and,and,and
baucus,baucus,baucus
the,dmt,uhm
ntroduced,introduced,ntroduced
s,s,s
the,the,the
biosafety,biosafety,blosafety
act,act,act
which,which,whlch
would,would,would
amend,amend,amend
the,the,the
toxic,toxic,toxlc
substances,substances,substances
control,control,control
act,act,act
to,to,to
establlsh,establish,establlsh
a,a,a
permit,permit,permit
system,system,system
for,for,for
genetlcally,genetically,genetlcally
englneered,engineered,englneered
microorganisms,microorganisms,mlcroorganlsms
and,and,and
to,to,to
give,give,give
a,a,a
statutory,statutory,statutory
charter,charter,charter
to,to,to
the,the,the
biotechnology,biotechnology,blotechnology
science,science,sclence
coordlnatlng,coordinating,coordlnatlng
commlttee,committee,commlttee
internatlonal,international,internatlonal
regulatlon,regulation,regulatlon
ussweden,ussweden,ussweden
consultatlons,consultations,consultatlons
on,on,on
october,october,october
the,the,the
internatlonal,international,internatlonal
affalrs,affairs,affalrs
group,group,group
may,iag,may
participated,participated,partlclpated
as,as,as
ndustry,industry,ndustry
advlsors,advisors,advlsors
m,to,m
the,the,the
v,us,v
governmental,governmental,governmental
delegatlon,delegation,delegatlon
at,at,at
bllateral,bilateral,bllateral
chemlcal,chemical,chemlcal
products,products,products
n,in,n
sweden,sweden,sweden
the,the,the
consultatlons,consultations,consultatlons
were,were,were
held,held,held
n,in,n
stockholm,stockholm,stockholm
has,iag,ms
had,had,had
prevlously,previously,prevlously
submltted,submitted,submltted
comments,comments,comments
on,on,on
the,the,the
new,new,new
act,act,act
to,to,to
the,the,the
offlce,office,offlce
of,of,of
the,the,the
v,us,v
trade,trade,trade
representatives,representative,representatlve
ustr,ustr,mstm
the,the,the
comments,comments,comments
address,address,address
a,a,a
number,number,number
of,of,of
chemlcal,chemical,chemlcal
notification,notification,notlflcatlon
testlng,testing,testlng
confidentiality,confidentiality,confldentlallty
and,and,and
labellng,labeling,labellng
issues,issues,lssues
as,as,as
well,well,well
as,as,as
suggested,suggested,suggested
amendments,amendments,amendments
on,on,on
cheaiical,cheaiical,cheallcal
nventory,inventory,nventory
compllatlon,compilation,compllatlon
and,and,and
exemptlons,exemptions,exemptlons
from,from,from
notification,notification,notlflcatlon
consultatlons,consultations,consultatlons
with,with,hlth
japanese,japanese,japanese
on,on,on
chemlcal,chemical,chemlcal
testlng,testing,testlng
on,on,on
november,november,november
the,the,the
cma,iag,ma
met,met,met
with,with,hlth
a,a,a
japanese,japanese,japanese
delegatlon,delegation,delegatlon
from,from,from
mlnlstry,ministry,mlnlstry
of,of,of
internatlonal,international,internatlonal
trade,trade,trade
and,and,and
industry,industry,industry
miti,miti,mitd
and,and,and
the,the,the
japan,japan,japan
chemlcal,chemical,chemlcal
industry,industry,industry
asslclatlon,assiciation,asslclatlon
cmas,jcia,mcmyy
m,to,m
discuss,discuss,dlscuss
the,the,the
forthcomlng,forthcoming,forthcomlng
revlslons,revisions,revlslons
m,to,m
the,the,the
japanese,japanese,japanese
chemlcal,chemical,chemlcal
substances,substances,substances
control,control,control
law,law,law
the,the,the
central,central,central
issue,issue,lssue
of,of,of
the,the,the
agenda,agenda,agenda
was,was,was
whether,whether,whether
japan,japan,japan
will,will,will
adopt,adopt,adopt
a,a,a
bassiset,baseset,bassiset
european,european,european
style,style,style
test,test,test
requirement,requirement,requlrement
or,or,or
adopt,adopt,adopt
a,a,a
casebycase,casebycase,cassibyicase
phllosophy,philosophy,phllosophy
tsca,tsca,tsca
style,style,style
for,for,for
testlng,testing,testlng
of,of,of
new,new,new
chemicals,chemicals,chemlcals
the,the,the
japanese,japanese,japanese
chemlcal,chemical,chemlcal
ndustry,industry,ndustry
prlvately,privately,prlvately
opposes,opposes,opposes
the,the,the
bassiset,baseset,bassiset
phllosophy,philosophy,phllosophy
but,but,but
ylelds,yields,ylelds
m,to,m
the,the,the
government,government,government
and,and,and
the,the,the
academlc,academic,academlc
proponents,proponents,proponents
of,of,of
such,such,such
a,a,a
requirement,requirement,requlrement
as,as,as
a,a,a
consequence,consequence,consequence
of,of,of
our,our,our
meetlng,meeting,meetlng
a,a,a
detalled,detailed,detalled
text,text,text
was,was,was
prepared,prepared,prepared
and,and,and
submltted,submitted,submltted
formally,formally,formally
by,by,by
members,members,members
of,of,of
the,the,the
dow,dow,dow
japan,japan,japan
staff,staff,staff
to,to,to
miti,miti,miti
summarizing,summarizing,summarlzlng
iags,iags,iags
concerns,concerns,concerns
and,and,and
recommendations,recommendations,recommendatlons
agalnst,against,agalnst
the,the,the
adoptlon,adoption,adoptlon
of,of,of
the,the,the
base,base,base
set,set,set
approach,approach,approach
n,in,n
japan,japan,japan
page,page,page
 , , 
cma,cma,cma
european,european,european
communlty,community,communlty
preparatlons,preparations,preparatlons
directive,directive,dlrectlve
the,the,the
cma,iag,ma
has,has,has
counclls,councils,counclls
directive,directive,dlrectlve
relatlng,relating,relatlng
m,to,m
the,the,the
classification,classification,classlflcatlon
packaglng,packaging,packaglng
and,and,and
labellng,labeling,labellng
of,of,of
dangerous,dangerous,dangerous
preparatlons,preparations,preparatlons
effort,effort,effort
between,between,between
cma,iag,ms
and,and,and
the,the,the
health,health,health
and,and,and
safety,safety,safety
commlttee,committee,commlttee
has,has,has
ylelded,yielded,ylelded
a,a,a
set,set,set
of,of,of
comments,comments,comments
which,which,whlch
were,were,were
submltted,submitted,submltted
to,to,to
use,ustr,usm
the,the,the
departments,departments,departments
of,of,of
state,state,state
and,and,and
commerce,commerce,commerce
and,and,and
epa,epa,epa
on,on,on
january,january,january
the,the,the
comments,comments,comments
relate,relate,relate
to,to,to
confidentiality,confidentiality,confldentlallty
labellng,labeling,labellng
and,and,and
product,product,product
llablllty,liability,llablllty
concerns,concerns,concerns
cma,with,mm
the,the,the
directive,directive,directive
as,as,as
well,well,well
as,as,as
the,the,the
economic,economic,economc
burdens,burdens,burdens
of,of,of
compllance,compliance,compllance
on,on,on
the,the,the
chemlcal,chemical,chemlcal
ndustry,industry,ndustry
australlan,australian,australlan
chemlcal,chemical,chemlcal
law,law,law
the,the,the
cma,iag,ma
will,will,will
address,address,address
new,new,new
developments,developments,developments
on,on,on
the,the,the
australlan,australian,australlan
chemlcal,chemical,chemlcal
reglstratlon,registration,reglstratlon
law,law,law
which,which,whlch
have,have,have
been,been,been
under,under,under
consideration,consideration,conslderatlon
for,for,for
several,several,several
months,months,months
and,and,and
appear,appear,appear
to,to,to
be,be,be
n,in,n
a,a,a
nearly,nearly,nearly
flnallzed,finalized,flnallzed
form,form,form
that,that,that
should,should,should
be,be,be
publlshed,published,publlshed
within,within,within
the,the,the
next,next,next
three,three,three
months,months,months
publlc,public,publlc
compensatlon,compensation,compensatlon
house,risk,husk
health,health,health
and,and,and
related,related,related
does,issues,des
congresslonal,congressional,congresslonal
developments,developments,developments
and,and,and
response,response,response
house,house,house
superfund,superfund,superfund
actlvlty,activity,actlvlty
on,on,on
december,december,december
the,the,the
house,house,house
of,of,of
representatives,representatives,representatlves
defeated,defeated,defeated
an,an,an
amendment,amendment,amendment
to,to,to
add,add,add
a,a,a
federal,federal,federal
cause,cause,cause
of,of,of
actlon,action,actlon
m,to,m
the,the,the
superfund,superfund,superfund
reauthorization,reauthorization,reauthorlzatlon
cma,bill,mm
the,the,the
amendment,amendment,amendment
offered,offered,offered
by,by,by
representative,representative,representatlve
barney,barney,barney
frank,frank,frank
drug,dma,drum
would,would,would
have,have,have
allowed,allowed,allowed
clalmants,claimants,clalmants
to,to,to
sue,sue,sue
n,in,n
federal,federal,federal
court,court,court
for,for,for
